obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_std,total/episodes,total/epochs,total/steps,train/loss_actor,train/loss_critic
0.0,1.0,0.19219606889656324,-9.981136322021484,0.03247314319014549,-1.0,0.0,-9.963672637939453,0.0296199731528759,-0.9999982118606567,4.893619234280777e-07,1907.7615894039734,151.0,-232.2244415283203,82.24895477294922,151.0,145,290000,11.221538543701172,0.3994041383266449
0.0,1.0,0.18105739093859663,-10.128487586975098,0.037179164588451385,-1.0,0.0,-10.122306823730469,0.03520514443516731,-0.9754089117050171,0.007905900478363037,1908.3684210526317,152.0,-232.0124053955078,82.01933288574219,152.0,146,292000,11.084891319274902,0.39189669489860535
0.0,1.0,0.17748984505303073,-10.452324867248535,0.045707881450653076,-1.0,0.0,-10.43102741241455,0.04079082980751991,-0.999981164932251,3.5046489301748807e-06,1908.9673202614379,153.0,-231.80320739746094,81.79153442382812,153.0,147,294000,11.400829315185547,29.83197593688965
0.0,1.0,0.18469664449646242,-10.000997543334961,0.04134832322597504,-1.0,0.0,-9.968597412109375,0.037011563777923584,-0.999896228313446,3.0447437893599272e-05,1909.5584415584415,154.0,-231.59671020507812,81.56554412841797,154.0,148,296000,11.534934997558594,14.930459022521973
0.0,1.0,0.19605920988138417,-10.01484489440918,0.021637406200170517,-1.0,0.0,-10.012115478515625,0.02262335643172264,-0.9983168840408325,0.0005017273360863328,1910.141935483871,155.0,-231.3928985595703,81.34134674072266,155.0,149,298000,11.329524040222168,0.33401429653167725
0.0,1.0,0.19219606889656324,-9.869804382324219,0.0006731816683895886,-1.0,0.0,-9.884392738342285,0.0010457755997776985,0.3070077896118164,0.3377067744731903,1910.7179487179487,156.0,-231.19168090820312,81.11891174316406,156.0,150,300000,11.019674301147461,1.4711129665374756
0.0,1.0,0.19219606889656324,-9.806543350219727,0.005098254419863224,-1.0,0.0,-9.87703800201416,0.009768582880496979,-0.760651707649231,0.07118773460388184,1905.1772151898733,158.0,-232.55735778808594,82.98978424072266,158.0,151,302000,11.517282485961914,1.7172149419784546
0.0,1.0,0.19219606889656324,-9.76092529296875,0.017928576096892357,-1.0,0.0,-9.765798568725586,0.016552411019802094,-0.9999935030937195,2.006766635531676e-06,1905.7735849056603,159.0,-232.35264587402344,82.76841735839844,159.0,152,304000,11.334856986999512,13.401226043701172
0.0,1.0,0.18469664449646242,-9.799558639526367,0.013085725717246532,-1.0,0.0,-9.851300239562988,0.004780670162290335,-0.9999755620956421,2.4004864371818257e-06,1906.3625,160.0,-232.15042114257812,82.54873657226562,160.0,153,306000,11.305843353271484,4.028069496154785
0.0,1.0,0.19219606889656324,-9.926346778869629,0.02526720054447651,-1.0,0.0,-9.930298805236816,0.019853323698043823,-0.9999991059303284,1.7457269052556512e-07,1906.944099378882,161.0,-231.95074462890625,82.33072662353516,161.0,154,308000,11.034215927124023,1.1356185674667358
0.0,1.0,0.19219606889656324,-10.256954193115234,0.01675262674689293,-1.0,0.0,-10.273819923400879,0.012060467153787613,-1.0,5.722899487636823e-08,1907.5185185185185,162.0,-231.7535400390625,82.11436462402344,162.0,155,310000,11.6066255569458,4.612626552581787
